,tweet_id,timestamp,text,rating_numerator,rating_denominator,dog_stage,favorites,retweets,img_num,confidence,dog_breed
19,888078434458587136,2017-07-20 16:49:33+00:00,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,12.0,10,doggo,19749.0,3018.0,1.0,0.995026,French_bulldog
20,887705289381826560,2017-07-19 16:06:48+00:00,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64,13.0,10,doggo,27450.0,4692.0,1.0,0.821664,basset
22,887473957103951883,2017-07-19 00:47:34+00:00,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her https://t.co/cLyzpcUcMX,13.0,10,doggo,62112.0,15611.0,2.0,0.809197,Pembroke
23,887343217045368832,2017-07-18 16:08:03+00:00,You may not have known you needed to see this today. 13/10 please enjoy (IG: emmylouroo) https://t.co/WZqNqygEyV,13.0,10,doggo,30473.0,9156.0,1.0,0.330741,Mexican_hairless
24,887101392804085760,2017-07-18 00:07:08+00:00,This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... 12/10 would suffocate in floof https://t.co/4Ad1jzJSdp,12.0,10,doggo,27790.0,5184.0,1.0,0.733942,Samoyed
25,886983233522544640,2017-07-17 16:17:36+00:00,This is Maya. She's very shy. Rarely leaves her cup. 13/10 would find her an environment to thrive in https://t.co/I6oNy0CgiT,13.0,10,doggo,31462.0,6633.0,2.0,0.793469,Chihuahua
26,886736880519319552,2017-07-16 23:58:41+00:00,"This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help

https://t.co/bVi0Yr4Cff https://t.co/ISvKOSkd5b",13.0,10,doggo,10814.0,2754.0,1.0,0.309706,kuvasz
28,886366144734445568,2017-07-15 23:25:31+00:00,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 deep breaths Roscoe https://t.co/RGE08MIJox,12.0,10,doggo,19123.0,2745.0,1.0,0.999201,French_bulldog
30,886258384151887873,2017-07-15 16:17:19+00:00,This is Waffles. His doggles are pupside down. Unsure how to fix. 13/10 someone assist Waffles https://t.co/xZDA9Qsq1O,13.0,10,doggo,25325.0,5489.0,1.0,0.943575,pug
31,885984800019947520,2017-07-14 22:10:11+00:00,Viewer discretion advised. This is Jimbo. He will rip ur finger right h*ckin off. Other dog clearly an accessory. 12/10 pls pet with caution https://t.co/BuveP0uMF1,12.0,10,doggo,29504.0,5833.0,1.0,0.972494,Blenheim_spaniel
32,885528943205470208,2017-07-13 15:58:47+00:00,This is Maisey. She fell asleep mid-excavation. Happens to the best of us. 13/10 would pat noggin approvingly https://t.co/tp1kQ8i9JF,13.0,10,doggo,32556.0,5551.0,1.0,0.369275,pug
34,885167619883638784,2017-07-12 16:03:00+00:00,Here we have a corgi undercover as a malamute. Pawbably doing important investigative work. Zero control over tongue happenings. 13/10 https://t.co/44ItaMubBf,13.0,10,doggo,19818.0,3798.0,4.0,0.8124819999999999,malamute
35,884925521741709313,2017-07-12 00:01:00+00:00,"This is Earl. He found a hat. Nervous about what you think of it. 12/10 it's delightful, Earl https://t.co/MYJvdlNRVa",12.0,10,doggo,69565.0,15658.0,1.0,0.259916,Italian_greyhound
36,884876753390489601,2017-07-11 20:47:12+00:00,This is Lola. It's her first time outside. Must test the earth and taste the atmosphere. 13/10 you're doing great Lola https://t.co/74TKAUsLkO,13.0,10,doggo,25189.0,4849.0,1.0,0.822103,chow
37,884562892145688576,2017-07-11 00:00:02+00:00,This is Kevin. He's just so happy. 13/10 what is your secret Kevin https://t.co/1r4MFCbCX5,13.0,10,doggo,22002.0,4076.0,1.0,0.5464060000000001,pug
38,884441805382717440,2017-07-10 15:58:53+00:00,"I present to you, Pup in Hat. Pup in Hat is great for all occasions. Extremely versatile. Compact as h*ck. 14/10 (IG: itselizabethgales) https://t.co/vvBOcC2VdC",14.0,10,doggo,24584.0,4954.0,1.0,0.993225,Pembroke
40,884162670584377345,2017-07-09 21:29:42+00:00,Meet Yogi. He doesn't have any important dog meetings today he just enjoys looking his best at all times. 12/10 for dangerously dapper doggo https://t.co/YSI00BzTBZ,12.0,10,doggo,18495.0,2598.0,1.0,0.707046,German_shepherd
41,883838122936631299,2017-07-09 00:00:04+00:00,This is Noah. He can't believe someone made this mess. Got the vacuum out for you though. Offered to help clean pup. 12/10 super good boy https://t.co/V85xujjDDY,12.0,10,doggo,19779.0,2972.0,1.0,0.610946,Doberman
42,883482846933004288,2017-07-08 00:28:19+00:00,"This is Bella. She hopes her smile made you smile. If not, she is also offering you her favorite monkey. 13.5/10 https://t.co/qjrljjt948",13.5,10,doggo,41488.0,8592.0,1.0,0.943082,golden_retriever
43,883360690899218434,2017-07-07 16:22:55+00:00,Meet Grizzwald. He may be the floofiest floofer I ever did see. Lost eyes saving a schoolbus from a volcano erpuption. 13/10 heroic as h*ck https://t.co/rf661IFEYP,13.0,10,doggo,20551.0,3196.0,1.0,0.987997,chow
44,883117836046086144,2017-07-07 00:17:54+00:00,"Please only send dogs. We don't rate mechanics, no matter how h*ckin good. Thank you... 13/10 would sneak a pat https://t.co/Se5fZ9wp5E",13.0,10,doggo,33574.0,5759.0,2.0,0.949562,golden_retriever
45,882992080364220416,2017-07-06 15:58:11+00:00,This is Rusty. He wasn't ready for the first pic. Clearly puppared for the second. 13/10 confirmed great boy https://t.co/tyER0KpdXj,13.0,10,doggo,21645.0,3363.0,1.0,0.466778,Eskimo_dog
46,882762694511734784,2017-07-06 00:46:41+00:00,This is Gus. He's quite the cheeky pupper. Already perfected the disinterested wink. 12/10 would let steal my girl https://t.co/D43I96SlVu,12.0,10,doggo,25579.0,4250.0,1.0,0.85005,Labrador_retriever
47,882627270321602560,2017-07-05 15:48:34+00:00,This is Stanley. He has his first swim lesson today. Doggle straps adjusted. Ready to go. 13/10 Phelps is nervous (IG: stanleythe_corgi) https://t.co/Nx52PGwH94,13.0,10,doggo,25390.0,5269.0,1.0,0.542982,Pembroke
48,882268110199369728,2017-07-04 16:01:23+00:00,This is Alfy. You're witnessing his first watermelon experience. I think it was a success. 13/10 happy 4th Alfy 🇺🇸 https://t.co/fYP5RlutfA,13.0,10,doggo,40493.0,10059.0,1.0,0.762211,golden_retriever
49,882045870035918850,2017-07-04 01:18:17+00:00,"This is Koko. Her owner, inspired by Barney, recently built a cart for her to use during walks if she got tired. 13/10 rest easy Koko https://t.co/zeDpnsKX7w",13.0,10,doggo,26546.0,4229.0,1.0,0.00694063,golden_retriever
50,881906580714921986,2017-07-03 16:04:48+00:00,This is Rey. He's a Benebop Cumberfloof. 12/10 dangerously pettable https://t.co/503CgWbhxQ,12.0,10,doggo,22093.0,2960.0,1.0,0.291539,Weimaraner
51,881666595344535552,2017-07-03 00:11:11+00:00,This is Gary. He couldn't miss this puppertunity for a selfie. Flawless focusing skills. 13/10 would boop intensely https://t.co/7CSWCl8I6s,13.0,10,doggo,45939.0,9280.0,1.0,0.529012,Saluki
53,881536004380872706,2017-07-02 15:32:16+00:00,"Here is a pupper approaching maximum borkdrive. Zooming at never before seen speeds. 14/10 paw-inspiring af 
(IG: puffie_the_chow) https://t.co/ghXBIIeQZF",14.0,10,doggo,44814.0,13921.0,1.0,0.281463,Samoyed
56,880872448815771648,2017-06-30 19:35:32+00:00,Ugh not again. We only rate dogs. Please don't send in well-dressed  floppy-tongued street penguins. Dogs only please. Thank you... 12/10 https://t.co/WiAMbTkDPf,12.0,10,doggo,19310.0,3322.0,1.0,0.791416,Pembroke
57,880465832366813184,2017-06-29 16:39:47+00:00,This is Bella. She had her first beach experience this morning. Complete success. 12/10 would perform a sandy boop https://t.co/4VsFysDmiw,12.0,10,doggo,25763.0,5414.0,1.0,0.913255,golden_retriever
58,880221127280381952,2017-06-29 00:27:25+00:00,Meet Jesse. He's a Fetty Woof. His tongue ejects without warning. A true bleptomaniac. 12/10 would snug well https://t.co/fUod0tVmvK,12.0,10,doggo,24427.0,3611.0,1.0,0.238525,Chihuahua
59,880095782870896641,2017-06-28 16:09:20+00:00,Please don't send in photos without dogs in them. We're not @porch_rates. Insubordinate and churlish. Pretty good porch tho 11/10 https://t.co/HauE8M3Bu4,11.0,10,doggo,25054.0,3778.0,1.0,0.120298,miniature_pinscher
60,879862464715927552,2017-06-28 00:42:13+00:00,This is Romeo. He would like to do an entrance. Requesting your immediate assistance. 13/10 https://t.co/Qh5aEkRQm9,13.0,10,doggo,20305.0,3035.0,3.0,0.813507,basset
62,879492040517615616,2017-06-27 00:10:17+00:00,This is Bailey. He thinks you should measure ear length for signs of growth instead. 12/10 https://t.co/IxM9IMKQq8,12.0,10,doggo,21328.0,2755.0,1.0,0.479896,German_short-haired_pointer
63,879415818425184262,2017-06-26 19:07:24+00:00,This is Duddles. He did an attempt. 13/10 someone help him (vid by Georgia Felici) https://t.co/UDT7ZkcTgY,13.0,10,doggo,95726.0,38821.0,1.0,0.383404,English_springer
64,879376492567855104,2017-06-26 16:31:08+00:00,This is Jack AKA Stephen Furry. You're not scoring on him. Unless he slips down the slide. 12/10 would happily get blocked by https://t.co/0gOi601EAa,12.0,10,doggo,15295.0,2733.0,1.0,0.0334961,Labrador_retriever
66,879008229531029506,2017-06-25 16:07:47+00:00,This is Beau. That is Beau's balloon. He takes it everywhere. 13/10 would protect at all costs https://t.co/YDtpCjIPKN,13.0,10,doggo,17266.0,2336.0,1.0,0.960513,vizsla
67,878776093423087618,2017-06-25 00:45:22+00:00,This is Snoopy. He's a proud #PrideMonthPuppo. Impeccable handwriting for not having thumbs. 13/10 would love back #PrideMonth https://t.co/lNZwgNO4gS,13.0,10,doggo,17621.0,3580.0,2.0,0.734684,Italian_greyhound
69,878281511006478336,2017-06-23 16:00:04+00:00,"Meet Shadow. In an attempt to reach maximum zooming borkdrive, he tore his ACL. Still 13/10 tho. Help him out below

https://t.co/245xJJElsY https://t.co/lUiQH219v6",13.0,10,doggo,7005.0,1113.0,1.0,0.32042,basset
70,878057613040115712,2017-06-23 01:10:23+00:00,This is Emmy. She was adopted today. Massive round of pupplause for Emmy and her new family. 14/10 for all involved https://t.co/cwtWnHMVpe,14.0,10,doggo,38228.0,5946.0,1.0,0.839097,French_bulldog
71,877736472329191424,2017-06-22 03:54:17+00:00,This is Aja. She was just told she's a good dog. Suspicions confirmed. 13/10 would tell again https://t.co/lsPyyAiF1r,13.0,10,doggo,71659.0,16476.0,2.0,0.8379559999999999,Chesapeake_Bay_retriever
72,877556246731214848,2017-06-21 15:58:08+00:00,This is Penny. She's both pupset and fired pup. Not pleased w your barbaric attempts at cleanliness. 12/10 would enjoy more shampoo options https://t.co/OYdDlfOGXP,12.0,10,doggo,20579.0,3297.0,1.0,0.995368,basset
73,877316821321428993,2017-06-21 00:06:44+00:00,"Meet Dante. At first he wasn't a fan of his new raincoat, then he saw his reflection. H*ckin handsome. 13/10 for water resistant good boy https://t.co/SHRTIo5pxc",13.0,10,doggo,24919.0,4544.0,1.0,0.5099670000000001,Saluki
74,877201837425926144,2017-06-20 16:29:50+00:00,This is Nelly. He graduated with his dogtorate today. Wants to know if you're proud of him. 12/10 would give congratulatory boop https://t.co/4g4cfj3P4Y,12.0,10,doggo,24583.0,4841.0,1.0,0.93112,Pembroke
75,876838120628539392,2017-06-19 16:24:33+00:00,This is Ginger. She's having a ruff Monday. Too many pupper things going on. H*ckin exhausting. 12/10 would snug passionately https://t.co/j211oCDRs6,12.0,10,doggo,18800.0,2913.0,1.0,0.575751,bloodhound
77,876484053909872640,2017-06-18 16:57:37+00:00,This is Benedict. He wants to thank you for this delightful urban walk. Hopes you know he loves you. 13/10 super duper good boy https://t.co/26BXueUgbs,13.0,10,doggo,17067.0,2071.0,1.0,0.874566,golden_retriever
78,876120275196170240,2017-06-17 16:52:05+00:00,"Meet Venti, a seemingly caffeinated puppoccino. She was just informed the weekend would include walks, pats and scritches. 13/10 much excite https://t.co/ejExJFq3ek",13.0,10,doggo,25443.0,4066.0,1.0,0.534327,Bernese_mountain_dog
79,875747767867523072,2017-06-16 16:11:53+00:00,"This is Goose. He's a womanizer. Cheeky as h*ck, but also deep. Tongue slip game on another level. 13/10 will steal your girl https://t.co/V2WlACRJCN",13.0,10,doggo,22856.0,3732.0,1.0,0.799551,Labrador_retriever
80,875144289856114688,2017-06-15 00:13:52+00:00,Meet Nugget and Hank. Nugget took Hank's bone. Hank is wondering if you would please return it to him. Both 13/10 would not intervene https://t.co/ogith9ejNj,13.0,10,doggo,19937.0,4284.0,1.0,0.245048,Siberian_husky
82,875021211251597312,2017-06-14 16:04:48+00:00,Guys please stop sending pictures without any dogs in th- oh never mind hello excuse me sir. 12/10 stealthy as h*ck https://t.co/brCQoqc8AW,12.0,10,doggo,23235.0,4127.0,2.0,0.7143189999999999,West_Highland_white_terrier
83,874680097055178752,2017-06-13 17:29:20+00:00,Meet Cash. He hath acquired a stick. A very good stick tbh. 12/10 would pat head approvingly https://t.co/lZhtizkURD,12.0,10,doggo,25339.0,4070.0,1.0,0.836052,Labrador_retriever
84,874296783580663808,2017-06-12 16:06:11+00:00,This is Jed. He may be the fanciest pupper in the game right now. Knows it too. 13/10 would sign modeling contract https://t.co/0YplNnSMEm,13.0,10,doggo,23741.0,3627.0,1.0,0.437216,cocker_spaniel
85,874057562936811520,2017-06-12 00:15:36+00:00,"I can't believe this keeps happening. This, is a birb taking a bath. We only rate dogs. Please only send dogs. Thank you... 12/10 https://t.co/pwY9PQhtP2",12.0,10,doggo,20711.0,3496.0,1.0,0.8321770000000001,flat-coated_retriever
86,874012996292530176,2017-06-11 21:18:31+00:00,"This is Sebastian. He can't see all the colors of the rainbow, but he can see that this flag makes his human happy. 13/10 #PrideMonth puppo https://t.co/XBE0evJZ6V",13.0,10,doggo,31090.0,8943.0,2.0,0.806674,Cardigan
87,873580283840344065,2017-06-10 16:39:04+00:00,"We usually don't rate Deck-bound Saskatoon Black Bears, but this one is h*ckin flawless. Sneaky tongue slip too. 13/10 would hug firmly https://t.co/mNuMH9400n",13.0,10,doggo,22093.0,3453.0,1.0,0.678537,Newfoundland
88,873213775632977920,2017-06-09 16:22:42+00:00,"This is Sierra. She's one precious pupper. Absolute 12/10. Been in and out of ICU her whole life. Help Sierra below

https://t.co/Xp01EU3qyD https://t.co/V5lkvrGLdQ",12.0,10,doggo,6528.0,1385.0,1.0,0.6197819999999999,vizsla
89,872967104147763200,2017-06-09 00:02:31+00:00,Here's a very large dog. He has a date later. Politely asked this water person to check if his breath is bad. 12/10 good to go doggo https://t.co/EMYIdoblMR,12.0,10,doggo,24821.0,4739.0,2.0,0.476913,Labrador_retriever
90,872820683541237760,2017-06-08 14:20:41+00:00,"Here are my favorite #dogsatpollingstations 
Most voted for a more consistent walking schedule and to increase daily pats tenfold. All 13/10 https://t.co/17FVMl4VZ5",13.0,10,doggo,13456.0,3267.0,3.0,0.99912,pug
91,872620804844003328,2017-06-08 01:06:27+00:00,This is Monkey. She's supporting owners everywhere with her fancy #PrideMonth bandana. 13/10 love is love is love... https://t.co/lUcpnZDPz9,13.0,10,doggo,18908.0,3197.0,1.0,0.513191,cocker_spaniel
92,872486979161796608,2017-06-07 16:14:40+00:00,We. Only. Rate. Dogs. Do not send in other things like this fluffy floor shark clearly ready to attack. Get it together guys... 12/10 https://t.co/BZHiKx3FpQ,12.0,10,doggo,37193.0,7995.0,1.0,0.931861,Pembroke
94,872122724285648897,2017-06-06 16:07:15+00:00,This is Kody. He's a baller. Wishes he was a little bit taller. Double dribbles often. Still 12/10 would happily get dunked on https://t.co/PKSpmiefwN,12.0,10,doggo,31224.0,7124.0,1.0,0.06673630000000001,pug
95,871879754684805121,2017-06-06 00:01:46+00:00,Say hello to Lassie. She's celebrating #PrideMonth by being a splendid mix of astute and adorable. Proudly supupporting her owner. 13/10 https://t.co/uK6PNyeh9w,13.0,10,doggo,34224.0,9618.0,1.0,0.969171,Shetland_sheepdog
96,871762521631449091,2017-06-05 16:15:56+00:00,This is Rover. As part of pupper protocol he had to at least attempt to eat the plant. Confirmed not tasty. Needs peanut butter. 12/10 https://t.co/AiVljI6QCg,12.0,10,doggo,18455.0,3067.0,2.0,0.921393,Labrador_retriever
97,871515927908634625,2017-06-04 23:56:03+00:00,This is Napolean. He's a Raggedy East Nicaraguan Zoom Zoom. Runs on one leg. Built for deception. No eyes. Good with kids. 12/10 great doggo https://t.co/PR7B7w1rUw,12.0,10,doggo,18424.0,3056.0,2.0,0.974781,komondor
99,871032628920680449,2017-06-03 15:55:36+00:00,"This is Boomer. He's doing an advanced water takeoff. The opposite of Sully. Ears for control, mlem for style. 13/10 simply breathtaking https://t.co/noNpY2Laoo",13.0,10,doggo,20785.0,3357.0,1.0,0.3980530000000001,kelpie
102,870656317836468226,2017-06-02 15:00:16+00:00,"This is Cody. He zoomed too aggressively and tore his ACL. Happens to the best of us. Still 13/10

Help Cody here: https://t.co/4hxnDOt1CV https://t.co/42ryYRQ2Q4",13.0,10,doggo,11227.0,2293.0,4.0,0.945495,Pembroke
103,870374049280663552,2017-06-01 20:18:38+00:00,This is Zoey. She really likes the planet. Would hate to see willful ignorance and the denial of fairly elemental science destroy it. 13/10 https://t.co/T1xlgaPujm,13.0,10,doggo,76199.0,23568.0,1.0,0.841001,golden_retriever
104,870308999962521604,2017-06-01 16:00:09+00:00,"This is Rumble, but he's not ready to. Would rather fall asleep in his bath bucket. 13/10 would attempt a boop without waking https://t.co/MVQCzrF1g9",13.0,10,doggo,20064.0,3665.0,2.0,0.6227520000000001,Greater_Swiss_Mountain_dog
106,869772420881756160,2017-05-31 04:27:59+00:00,"This is Dewey (pronounced ""covfefe""). He's having a good walk. Arguably the best walk. 13/10 would snug softly https://t.co/HciEaJkC4D",13.0,10,doggo,39076.0,8998.0,1.0,0.980148,Pembroke
107,869702957897576449,2017-05-30 23:51:58+00:00,Meet Stanley. He likes road trips. Will shift for you. One ear more effective than other. 13/10 we don't leave until you buckle pup Stanley https://t.co/vmCu3PFCQq,13.0,10,doggo,25814.0,5567.0,1.0,0.993449,Pembroke
108,869596645499047938,2017-05-30 16:49:31+00:00,This is Scout. He just graduated. Officially a doggo now. Have fun with taxes and losing sight of your ambitions. 12/10 would throw cap for https://t.co/DsA2hwXAJo,12.0,10,doggo,14644.0,2747.0,1.0,0.955156,Chihuahua
109,869227993411051520,2017-05-29 16:24:37+00:00,This is Gizmo. His favorite thing is standing pupright like a hooman. Sneaky tongue slip status achieved. 13/10 would boop well https://t.co/IoR3n1fiiQ,13.0,10,doggo,18703.0,3333.0,1.0,0.664181,Pembroke
110,868880397819494401,2017-05-28 17:23:24+00:00,This is Walter. He won't start hydrotherapy without his favorite floatie. 14/10 keep it pup Walter https://t.co/r28jFx9uyF,14.0,10,doggo,59820.0,12755.0,1.0,0.0999839,French_bulldog
111,868622495443632128,2017-05-28 00:18:35+00:00,Here's a h*ckin peaceful boy. Unbothered by the comings and goings. 13/10 please reveal your wise ways https://t.co/yeaH8Ej5eM,13.0,10,doggo,24369.0,4676.0,1.0,0.868107,Labrador_retriever
112,868552278524837888,2017-05-27 19:39:34+00:00,"Say hello to Cooper. His expression is the same wet or dry. Absolute 12/10 but Coop desperately requests your help

https://t.co/ZMTE4Mr69f https://t.co/7RyeXTYLNi",12.0,10,doggo,9258.0,1818.0,1.0,0.378151,whippet
113,867900495410671616,2017-05-26 00:29:37+00:00,"Unbelievable. We only rate dogs. Please don't send in non-canines like the ""I"" from Pixar's opening credits. Thank you... 12/10 https://t.co/JMhDNv5wXZ",12.0,10,doggo,22227.0,3717.0,1.0,0.522644,Labrador_retriever
114,867774946302451713,2017-05-25 16:10:44+00:00,Meet Harold.  He's h*ckin cooperative. 13/10 good work Harold https://t.co/ZYg3NZGICa,13.0,10,doggo,31183.0,6505.0,2.0,0.661953,Border_collie
115,867421006826221569,2017-05-24 16:44:18+00:00,This is Shikha. She just watched you drop a skittle on the ground and still eat it. Could not be less impressed. 12/10 superior puppo https://t.co/XZlZKd73go,12.0,10,doggo,14761.0,2208.0,1.0,0.6164569999999999,Eskimo_dog
116,867051520902168576,2017-05-23 16:16:06+00:00,"Oh my this spooked me up. We only rate dogs, not happy ghosts. Please send dogs only. It's a very simple premise. Thank you... 13/10 https://t.co/M5Rz0R8SIQ",13.0,10,doggo,29569.0,7027.0,1.0,0.471403,Samoyed
118,866686824827068416,2017-05-22 16:06:55+00:00,This is Lili. She can't believe you betrayed her with bath time. Never looking you in the eye again. 12/10 would puppologize profusely https://t.co/9b9J46E86Z,12.0,10,doggo,17675.0,3076.0,1.0,0.51473,flat-coated_retriever
119,866450705531457537,2017-05-22 00:28:40+00:00,"This is Jamesy. He gives a kiss to every other pupper he sees on his walk. 13/10 such passion, much tender https://t.co/wk7TfysWHr",13.0,10,doggo,112280.0,31460.0,2.0,0.905334,French_bulldog
120,866334964761202691,2017-05-21 16:48:45+00:00,This is Coco. At first I thought she was a cloud but clouds don't bork with such passion. 12/10 would hug softly https://t.co/W86h5dgR6c,12.0,10,doggo,48079.0,12698.0,1.0,0.984086,Samoyed
121,865718153858494464,2017-05-19 23:57:46+00:00,"Meet Boomer. He's just checking pup on you. Hopes you had a good day. If not, he hopes he made it better. 13/10 extremely good boy https://t.co/pozUoHLkGg",13.0,10,doggo,23666.0,5031.0,1.0,0.673664,golden_retriever
122,865359393868664832,2017-05-19 00:12:11+00:00,This is Sammy. Her tongue ejects without warning sometimes. It's a serious condition. Needs a hefty dose from a BlepiPen. 13/10 https://t.co/g20EmqK7vc,13.0,10,doggo,24350.0,4471.0,2.0,0.832435,Chesapeake_Bay_retriever
123,865006731092295680,2017-05-18 00:50:50+00:00,This is Nelly. He really hopes you like his Hawaiian shirt. He already tore the tags off. 13/10 h*ck of a puppurchase https://t.co/LbkG5CiM7o,13.0,10,doggo,25818.0,6917.0,1.0,0.989882,Pembroke
125,864279568663928832,2017-05-16 00:41:21+00:00,This is Meatball. He doing what's known in the industry as a mid-strut mlem. H*ckin fancy boy. 12/10 I'd do anything for Meatball https://t.co/S2HdmFFPck,12.0,10,doggo,13475.0,2694.0,1.0,0.668613,bull_mastiff
126,864197398364647424,2017-05-15 19:14:50+00:00,This is Paisley. She ate a flower just to prove she could. Savage af. 13/10 would pet so well https://t.co/cPq9fYvkzr,13.0,10,doggo,27568.0,7891.0,4.0,0.945905,golden_retriever
128,863553081350529029,2017-05-14 00:34:33+00:00,This is Neptune. He's a backpup vocalist for the Dixie Chicks. 13/10 (vid by @AmiWinehouse) https://t.co/tordvmaaop,13.0,10,doggo,14075.0,3769.0,1.0,0.41333,Eskimo_dog
129,863432100342583297,2017-05-13 16:33:49+00:00,This is Belle. She's never been more pupset. Encountered the worst imaginable type of zone. 12/10 would do anything to cheer pup https://t.co/fGQUzR8w3H,12.0,10,doggo,21958.0,4718.0,1.0,0.690517,Staffordshire_bullterrier
